Gene stable ID	Gene start (bp)	Chromosome/scaffold name	Gene end (bp)	Gene name
ENSG00000223972	11869	1	14409	DDX11L1
ENSG00000227232	14404	1	29570	WASH7P
ENSG00000278267	17369	1	17436	MIR6859-1
ENSG00000243485	29554	1	31109	MIR1302-2HG
ENSG00000284332	30366	1	30503	MIR1302-2
ENSG00000237613	34554	1	36081	FAM138A
ENSG00000268020	52473	1	53312	OR4G4P
ENSG00000240361	57598	1	64116	OR4G11P
ENSG00000186092	65419	1	71585	OR4F5
ENSG00000238009	89295	1	133723	AL627309.1
ENSG00000239945	89551	1	91105	AL627309.3
ENSG00000233750	131025	1	134836	CICP27
ENSG00000268903	135141	1	135895	AL627309.6
ENSG00000269981	137682	1	137965	AL627309.7
ENSG00000239906	139790	1	140339	AL627309.2
ENSG00000241860	141474	1	173862	AL627309.5
ENSG00000222623	157784	1	157887	RNU6-1100P
ENSG00000241599	160446	1	161525	AL627309.4
ENSG00000279928	182696	1	184174	FO538757.1
ENSG00000279457	185217	1	195411	WASH9P
ENSG00000273874	187891	1	187958	MIR6859-2
ENSG00000228463	257864	1	359681	AP006222.1
ENSG00000286448	266855	1	268655	AP006222.2
ENSG00000236679	347982	1	348366	RPL23AP24
ENSG00000236601	358857	1	366052	AL732372.1
ENSG00000237094	365389	1	522928	AL732372.2
ENSG00000269732	439870	1	440232	WBP1LP7
ENSG00000284733	450703	1	451697	OR4F29
ENSG00000233653	487101	1	489906	CICP7
ENSG00000250575	491225	1	493241	AL732372.3
ENSG00000278757	516376	1	516479	FO681485.1
ENSG00000230021	586071	1	827796	AL669831.3
ENSG00000235146	587629	1	594768	AC114498.1
ENSG00000225972	629062	1	629433	MTND1P23
ENSG00000225630	629640	1	630683	MTND2P28
ENSG00000237973	631074	1	632616	MTCO1P12
ENSG00000278791	632325	1	632413	AC114498.2
ENSG00000229344	632757	1	633438	MTCO2P12
ENSG00000240409	633535	1	633741	MTATP8P1
ENSG00000248527	633696	1	634376	MTATP6P1
ENSG00000198744	634376	1	634922	MTCO3P12
ENSG00000268663	674842	1	675265	WBP1LP6
ENSG00000284662	685679	1	686673	OR4F16
ENSG00000229376	722092	1	724903	CICP3
ENSG00000228327	725885	1	778626	AL669831.1
ENSG00000223181	758233	1	758336	RNU6-1199P
ENSG00000229905	760911	1	761989	AL669831.2
ENSG00000237491	778747	1	810065	LINC01409
ENSG00000285268	781937	1	782050	AL669831.6
ENSG00000230092	800879	1	817712	AL669831.4
ENSG00000177757	817371	1	819837	FAM87B
ENSG00000228794	825138	1	859446	LINC01128
ENSG00000225880	826206	1	827522	LINC00115
ENSG00000288531	860226	1	868202	AL669831.7
ENSG00000230368	868071	1	876903	FAM41C
ENSG00000234711	873292	1	874349	TUBB8P11
ENSG00000283040	874529	1	877234	AL669831.5
ENSG00000272438	904834	1	915976	AL645608.6
ENSG00000230699	911435	1	914948	AL645608.2
ENSG00000241180	914171	1	914971	AL645608.4
ENSG00000223764	916865	1	921016	LINC02593
ENSG00000187634	923928	1	944581	SAMD11
ENSG00000188976	944203	1	959309	NOC2L
ENSG00000187961	960584	1	965719	KLHL17
ENSG00000187583	966482	1	975865	PLEKHN1
ENSG00000187642	975204	1	982093	PERM1
ENSG00000272512	995966	1	998051	AL645608.7
ENSG00000188290	998962	1	1000172	HES4
ENSG00000187608	1001138	1	1014540	ISG15
ENSG00000231702	1008076	1	1008229	AL645608.3
ENSG00000224969	1011997	1	1013193	AL645608.1
ENSG00000188157	1020120	1	1056118	AGRN
ENSG00000242590	1055033	1	1056116	AL645608.5
ENSG00000217801	1059708	1	1069355	AL390719.1
ENSG00000273443	1062208	1	1063288	AL645608.8
ENSG00000237330	1070967	1	1074306	RNF223
ENSG00000131591	1081818	1	1116361	C1orf159
ENSG00000285812	1097585	1	1104598	AL390719.3
ENSG00000223823	1137017	1	1144056	LINC01342
ENSG00000207730	1167104	1	1167198	MIR200B
ENSG00000207607	1167863	1	1167952	MIR200A
ENSG00000198976	1169005	1	1169087	MIR429
ENSG00000272141	1169357	1	1170343	AL390719.2
ENSG00000205231	1173056	1	1179555	TTLL10-AS1
ENSG00000162571	1173880	1	1197936	TTLL10
ENSG00000186891	1203508	1	1206592	TNFRSF18
ENSG00000186827	1211340	1	1214153	TNFRSF4
ENSG00000078808	1216908	1	1232067	SDF4
ENSG00000176022	1232237	1	1235041	B3GALT6
ENSG00000184163	1242446	1	1246722	C1QTNF12
ENSG00000260179	1249777	1	1251334	AL162741.1
ENSG00000160087	1253909	1	1273864	UBE2J2
ENSG00000230415	1275223	1	1280420	LINC01786
ENSG00000162572	1280436	1	1292029	SCNN1D
ENSG00000131584	1292390	1	1309609	ACAP3
ENSG00000278073	1296110	1	1296170	MIR6726
ENSG00000169972	1308597	1	1311677	PUSL1
ENSG00000127054	1311585	1	1324687	INTS11
ENSG00000283712	1312502	1	1312566	MIR6727
ENSG00000240731	1317581	1	1318689	AL139287.1
ENSG00000224051	1324756	1	1328896	CPTP
ENSG00000169962	1331280	1	1335314	TAS1R3
ENSG00000107404	1335276	1	1349418	DVL1
ENSG00000284372	1339650	1	1339708	MIR6808
ENSG00000162576	1352689	1	1361777	MXRA8
ENSG00000175756	1373730	1	1375495	AURKAIP1
ENSG00000223663	1378666	1	1379032	NDUFB4P8
ENSG00000221978	1385711	1	1399335	CCNL2
ENSG00000224870	1399520	1	1402046	MRPL20-AS1
ENSG00000242485	1401909	1	1407293	MRPL20
ENSG00000264293	1405460	1	1405752	RN7SL657P
